geo,time,reported,aggregated,abs_diff,rel_diff
BG,1996-Q1,5.5,5.5,0.0,0.0
BG,1996-Q2,5.5,5.5,0.0,0.0
BG,1996-Q3,5.5,5.5,0.0,0.0
BG,1996-Q4,5.5,5.5,0.0,0.0
BG,1997-Q1,5.5,5.5,0.0,0.0
BG,1997-Q2,5.5,5.5,0.0,0.0
BG,1997-Q3,5.5,5.5,0.0,0.0
BG,1997-Q4,5.5,5.5,0.0,0.0
BG,1998-Q1,5.5,5.5,0.0,0.0
BG,1998-Q2,5.5,5.5,0.0,0.0
BG,1998-Q3,5.5,5.5,0.0,0.0
BG,1998-Q4,6.2,6.113636363636364,0.08636363636363598,0.013929618768328383
BG,1999-Q1,5.854545454545455,5.854545454545455,0.0,0.0
BG,1999-Q2,5.595454545454545,5.595454545454545,0.0,0.0
BG,1999-Q3,5.25,5.336363636363636,0.08636363636363598,0.016450216450216375
BG,1999-Q4,6.09,6.09,0.0,0.0
BG,2000-Q1,4.09,4.083333333333333,0.006666666666666821,0.0016299918500407874
BG,2000-Q2,4.9,4.763333333333334,0.13666666666666671,0.02789115646258504
BG,2000-Q3,4.82,4.825,0.004999999999999893,0.0010373443983402268
BG,2000-Q4,5.0,5.033333333333334,0.0333333333333341,0.006666666666666821
BG,2001-Q1,4.47,4.46,0.009999999999999787,0.002237136465324337
BG,2001-Q2,4.97,4.97,0.0,0.0
BG,2001-Q3,5.49,5.493333333333333,0.0033333333333329662,0.0006071645415907042
BG,2001-Q4,5.28,5.293333333333333,0.013333333333332753,0.0025252525252524153
BG,2002-Q1,5.29,5.29,0.0,0.0
BG,2002-Q2,4.82,4.758333333333334,0.061666666666666536,0.012793914246196376
BG,2002-Q3,5.65,5.596666666666667,0.05333333333333368,0.00943952802359888
BG,2002-Q4,4.23,4.226666666666667,0.0033333333333338544,0.0007880220646179324
BG,2003-Q1,3.09,3.0933333333333333,0.0033333333333334103,0.0010787486515642106
BG,2003-Q2,4.27,4.266666666666667,0.0033333333333329662,0.0007806401249023341
BG,2003-Q3,3.65,3.6500000000000004,4.440892098500626e-16,1.2166827667125003e-16
BG,2003-Q4,3.72,3.716666666666667,0.0033333333333334103,0.0008960573476702715
BG,2004-Q1,3.45,3.4499999999999997,4.440892098500626e-16,1.2872151010146743e-16
BG,2004-Q2,4.43,4.423333333333333,0.006666666666666821,0.0015048908954101176
BG,2004-Q3,3.47,3.466666666666667,0.0033333333333334103,0.0009606147934678415
BG,2004-Q4,3.62,3.6166666666666667,0.0033333333333334103,0.0009208103130755277
BG,2005-Q1,3.63,3.6300000000000003,4.440892098500626e-16,1.2233862530304756e-16
